identifiant;status;type;filiere;nom;numero_de_version;date_de_publication;date_de_debut;date_de_fin;cause;information_complementaire;puissance_maximale_mw;puissance_disponible_mw
05470_EDF_T_00086527;Active;Planifiée;Nucléaire;TRICASTIN 3;2;2022-11-21T07:06:16+01:00;2022-11-21T00:43:00+01:00;2022-11-24T23:30:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : 804 MW --------------------------------------------------------------------------------- Unit is currently ramping up by steps Next step : 804 MW;915.0;363.0
05470_EDF_T_00086246;Active;Planifiée;Nucléaire;BUGEY 2;5;2022-11-21T05:06:18+01:00;2022-11-15T03:00:00+01:00;2022-11-25T13:00:00+01:00;Maintenance prévisionnelle;;910.0;0.0
05470_EDF_T_00086527;Inactive;Planifiée;Nucléaire;TRICASTIN 3;1;2022-11-21T00:51:17+01:00;2022-11-21T00:43:00+01:00;2022-11-24T23:30:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : 380MW --------------------------------------------------------------------------------- Unit is currently ramping up by steps Next step : 380MW;915.0;40.0
05470_EDF_T_00035708;Active;Planifiée;Nucléaire;TRICASTIN 3;30;2022-11-20T23:12:14+01:00;2022-03-12T00:00:00+01:00;2022-11-21T01:00:00+01:00;Informations complémentaires;After its restart, the plant will gradually return by various load threshold to full power. The ramp-up period will take at least 48 hours. First threshold after restart : 383 MW ----------------------------------------------------------------------- Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h. Premier palier à atteindre : 383 MW;915.0;0.0
05470_EDF_T_00086154;Active;Planifiée;Nucléaire;BUGEY 4;25;2022-11-20T18:12:17+01:00;2022-11-13T05:14:00+01:00;2022-11-21T00:30:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086514;Active;Chronique;Nucléaire;TRICASTIN 4;2;2022-11-20T16:36:16+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 180MW; 07h25 : 180MW; 07h30 : 923MW; 14h55 : 923MW; 15h00 : 450MW; 15h25 : 450MW; 15h30 : 0MW; 15h55 : 0MW; 16h00 : -25MW; 23h55 : -25MW 22/11/2022 00h00 : -25MW; 02h25 : -25MW; 02h30 : 0MW; 02h55 : 0MW; 03h00 : 450MW; 03h25 : 450MW; 03h30 : 942MW; 03h55 : 942MW; 04h00 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086154;Inactive;Planifiée;Nucléaire;BUGEY 4;24;2022-11-20T16:12:20+01:00;2022-11-13T05:14:00+01:00;2022-11-20T23:15:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086522;Active;Planifiée;Nucléaire;TRICASTIN 4;1;2022-11-20T15:45:56+01:00;2022-11-21T16:00:00+01:00;2022-11-22T03:00:00+01:00;Maintenance prévisionnelle;;915.0;0.0
05470_EDF_T_00086501;Active;Chronique;Nucléaire;GRAVELINES 1;2;2022-11-20T15:30:22+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 767MW; 07h25 : 767MW; 07h30 : 903MW; 16h55 : 903MW; 17h00 : 867MW; 23h55 : 867MW 22/11/2022 00h00 : 470MW; 06h25 : 470MW; 06h30 : 903MW; 14h55 : 903MW; 15h00 : 470MW; 23h55 : 470MW";;
05470_EDF_T_00086349;Active;Planifiée;Nucléaire;GRAVELINES 5;4;2022-11-20T15:00:35+01:00;2022-11-19T01:00:00+01:00;2022-11-20T16:00:00+01:00;Maintenance prévisionnelle;;910.0;0.0
05470_EDF_T_00035708;Inactive;Planifiée;Nucléaire;TRICASTIN 3;29;2022-11-20T13:27:23+01:00;2022-03-12T00:00:00+01:00;2022-11-20T23:00:00+01:00;Informations complémentaires;After its restart, the plant will gradually return by various load threshold to full power. The ramp-up period will take at least 48 hours. First threshold after restart : 383 MW ----------------------------------------------------------------------- Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h. Premier palier à atteindre : 383 MW;915.0;0.0
05470_EDF_T_00038392;Active;Planifiée;Nucléaire;BELLEVILLE 2;18;2022-11-20T13:18:19+01:00;2022-08-13T00:00:00+02:00;2022-11-22T23:00:00+01:00;Informations complémentaires;After its restart, the plant will gradually return by various load threshold to full power. The ramp-up period will take at least 48 hours. First threshold after restart : 611 MW ----------------------------------------------------------------------- Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h. Premier palier à atteindre : 611 MW;1310.0;0.0
05470_EDF_T_00086492;Active;Chronique;Nucléaire;CHINON 2;2;2022-11-20T12:12:13+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 754MW; 02h25 : 754MW; 02h30 : 276MW; 05h25 : 276MW; 05h30 : 890MW; 23h55 : 890MW 22/11/2022 00h00 : 890MW; 23h55 : 890MW";;
05470_EDF_T_00086503;Active;Chronique;Nucléaire;GRAVELINES 6;2;2022-11-20T12:06:14+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 908MW; 08h25 : 908MW; 08h30 : 944MW; 09h55 : 944MW; 10h00 : 908MW; 23h55 : 908MW 22/11/2022 00h00 : 908MW; 21h25 : 908MW; 21h30 : 944MW; 22h55 : 944MW; 23h00 : 908MW; 23h55 : 908MW";;
05470_EDF_T_00086154;Inactive;Planifiée;Nucléaire;BUGEY 4;23;2022-11-20T11:27:25+01:00;2022-11-13T05:14:00+01:00;2022-11-20T21:00:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086514;Inactive;Chronique;Nucléaire;TRICASTIN 4;1;2022-11-20T11:17:58+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 180MW; 07h25 : 180MW; 07h30 : 923MW; 16h55 : 923MW; 17h00 : 180MW; 23h55 : 180MW 22/11/2022 00h00 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086513;Active;Chronique;Nucléaire;TRICASTIN 3;1;2022-11-20T11:17:54+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 194MW; 00h25 : 194MW; 00h30 : 383MW; 23h55 : 383MW 22/11/2022 00h00 : 383MW; 13h30 : 383MW; 13h35 : 385MW; 23h45 : 638MW; 23h55 : 642MW";;
05470_EDF_T_00086512;Active;Chronique;Nucléaire;TRICASTIN 2;1;2022-11-20T11:17:51+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 931MW; 23h55 : 931MW 22/11/2022 00h00 : 931MW; 00h55 : 931MW; 01h00 : 465MW; 01h25 : 465MW; 01h30 : 931MW; 23h55 : 931MW";;
05470_EDF_T_00086511;Active;Chronique;Nucléaire;ST LAURENT 1;1;2022-11-20T11:17:47+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 180MW; 16h25 : 180MW; 16h30 : 820MW; 18h25 : 820MW; 18h30 : 180MW; 23h55 : 180MW 22/11/2022 00h00 : 180MW; 08h25 : 180MW; 08h30 : 895MW; 23h55 : 895MW";;
05470_EDF_T_00086510;Active;Chronique;Nucléaire;ST ALBAN 1;1;2022-11-20T11:17:44+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 1127MW; 08h25 : 1127MW; 08h30 : 1321MW; 14h55 : 1321MW; 15h00 : 1127MW; 23h55 : 1127MW 22/11/2022 00h00 : 1127MW; 12h25 : 1127MW; 12h30 : 1321MW; 19h25 : 1321MW; 19h30 : 1127MW; 23h55 : 1127MW";;
05470_EDF_T_00086509;Active;Chronique;Nucléaire;PALUEL 4;1;2022-11-20T11:17:41+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 270MW; 08h25 : 270MW; 08h30 : 1290MW; 10h55 : 1290MW; 11h00 : 270MW; 23h55 : 270MW 22/11/2022 00h00 : 270MW; 07h25 : 270MW; 07h30 : 1290MW; 08h55 : 1290MW; 09h00 : 270MW; 13h25 : 270MW; 13h30 : 1290MW; 16h55 : 1290MW; 17h00 : 270MW; 23h55 : 270MW";;
05470_EDF_T_00086508;Active;Chronique;Nucléaire;PALUEL 3;1;2022-11-20T11:17:37+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 498MW; 23h55 : 498MW 22/11/2022 00h00 : 498MW; 07h25 : 498MW; 07h30 : 1280MW; 14h55 : 1280MW; 15h00 : 498MW; 23h55 : 498MW";;
05470_EDF_T_00086507;Active;Chronique;Nucléaire;PALUEL 2;1;2022-11-20T11:17:34+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 270MW; 09h25 : 270MW; 09h30 : 1290MW; 11h25 : 1290MW; 11h30 : 270MW; 21h25 : 270MW; 21h30 : 1290MW; 23h55 : 1290MW 22/11/2022 00h00 : 270MW; 07h25 : 270MW; 07h30 : 1290MW; 23h55 : 1290MW";;
05470_EDF_T_00086506;Active;Chronique;Nucléaire;PALUEL 1;1;2022-11-20T11:17:30+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 1254MW; 01h25 : 1254MW; 01h30 : 1278MW; 03h55 : 1278MW; 04h00 : 1254MW; 07h25 : 1254MW; 07h30 : 1278MW; 18h55 : 1278MW; 19h00 : 1254MW; 23h55 : 1254MW 22/11/2022 00h00 : 1254MW; 23h55 : 1254MW";;
05470_EDF_T_00086505;Active;Chronique;Nucléaire;NOGENT 2;1;2022-11-20T11:17:27+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 1295MW; 23h55 : 1295MW 22/11/2022 00h00 : 1295MW; 23h55 : 1295MW";;
05470_EDF_T_00086504;Active;Chronique;Nucléaire;NOGENT 1;1;2022-11-20T11:17:23+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 260MW; 09h25 : 260MW; 09h30 : 1310MW; 22h55 : 1310MW; 23h00 : 260MW; 23h55 : 260MW 22/11/2022 00h00 : 260MW; 13h25 : 260MW; 13h30 : 1310MW; 16h55 : 1310MW; 17h00 : 260MW; 23h55 : 260MW";;
05470_EDF_T_00086503;Inactive;Chronique;Nucléaire;GRAVELINES 6;1;2022-11-20T11:17:20+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 914MW; 08h25 : 914MW; 08h30 : 944MW; 09h55 : 944MW; 10h00 : 914MW; 23h55 : 914MW 22/11/2022 00h00 : 914MW; 21h25 : 914MW; 21h30 : 944MW; 22h55 : 944MW; 23h00 : 914MW; 23h55 : 914MW";;
05470_EDF_T_00086502;Active;Chronique;Nucléaire;GRAVELINES 5;1;2022-11-20T11:17:17+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 886MW; 23h55 : 886MW 22/11/2022 00h00 : 886MW; 05h25 : 886MW; 05h30 : 922MW; 09h55 : 922MW; 10h00 : 886MW; 23h55 : 886MW";;
05470_EDF_T_00086501;Inactive;Chronique;Nucléaire;GRAVELINES 1;1;2022-11-20T11:17:13+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 470MW; 07h25 : 470MW; 07h30 : 903MW; 16h55 : 903MW; 17h00 : 867MW; 23h55 : 867MW 22/11/2022 00h00 : 470MW; 06h25 : 470MW; 06h30 : 903MW; 14h55 : 903MW; 15h00 : 470MW; 23h55 : 470MW";;
05470_EDF_T_00086500;Active;Chronique;Nucléaire;GOLFECH 2;1;2022-11-20T11:17:09+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 1292MW; 23h55 : 1292MW 22/11/2022 00h00 : 1292MW; 23h55 : 1292MW";;
05470_EDF_T_00086499;Active;Chronique;Nucléaire;DAMPIERRE 4;1;2022-11-20T11:17:06+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 860MW; 19h55 : 860MW; 20h00 : 180MW; 23h55 : 180MW 22/11/2022 00h00 : 180MW; 09h25 : 180MW; 09h30 : 880MW; 10h55 : 880MW; 11h00 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086498;Active;Chronique;Nucléaire;DAMPIERRE 1;1;2022-11-20T11:17:02+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 870MW; 23h55 : 870MW 22/11/2022 00h00 : 870MW; 23h55 : 870MW";;
05470_EDF_T_00086497;Active;Chronique;Nucléaire;CRUAS 4;1;2022-11-20T11:16:59+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 904MW; 23h55 : 904MW 22/11/2022 00h00 : 904MW; 23h55 : 904MW";;
05470_EDF_T_00086496;Active;Chronique;Nucléaire;CRUAS 3;1;2022-11-20T11:16:55+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : -25MW; 22h25 : -25MW; 22h30 : 0MW; 22h55 : 0MW; 23h00 : 51MW; 23h25 : 51MW; 23h30 : 102MW; 23h55 : 102MW 22/11/2022 00h00 : 102MW; 01h55 : 102MW; 02h00 : 184MW; 04h25 : 184MW; 04h30 : 372MW; 19h55 : 372MW; 20h00 : 355MW; 20h25 : 355MW; 20h30 : 338MW; 22h00 : 338MW; 22h05 : 340MW; 23h45 : 383MW; 23h55 : 387MW";;
05470_EDF_T_00086495;Active;Chronique;Nucléaire;CRUAS 1;1;2022-11-20T11:16:52+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 180MW; 05h25 : 180MW; 05h30 : 922MW; 12h55 : 922MW; 13h00 : 180MW; 23h55 : 180MW 22/11/2022 00h00 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086494;Active;Chronique;Nucléaire;CHINON 4;1;2022-11-20T11:16:48+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 411MW; 13h25 : 411MW; 13h30 : 900MW; 16h55 : 900MW; 17h00 : 411MW; 23h55 : 411MW 22/11/2022 00h00 : 411MW; 23h55 : 411MW";;
05470_EDF_T_00086493;Active;Chronique;Nucléaire;CHINON 3;1;2022-11-20T11:16:45+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 895MW; 23h55 : 895MW 22/11/2022 00h00 : 895MW; 23h55 : 895MW";;
05470_EDF_T_00086492;Inactive;Chronique;Nucléaire;CHINON 2;1;2022-11-20T11:16:42+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 754MW; 02h25 : 754MW; 02h30 : 276MW; 05h25 : 276MW; 05h30 : 854MW; 23h55 : 854MW 22/11/2022 00h00 : 854MW; 05h55 : 854MW; 06h00 : 890MW; 23h55 : 890MW";;
05470_EDF_T_00086491;Active;Chronique;Nucléaire;CHINON 1;1;2022-11-20T11:16:38+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 900MW; 23h55 : 900MW 22/11/2022 00h00 : 900MW; 23h55 : 900MW";;
05470_EDF_T_00086490;Active;Chronique;Nucléaire;CATTENOM 2;1;2022-11-20T11:16:34+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 709MW; 06h25 : 709MW; 06h30 : 1271MW; 16h55 : 1271MW; 17h00 : 709MW; 23h55 : 709MW 22/11/2022 00h00 : 709MW; 14h25 : 709MW; 14h30 : 1271MW; 21h55 : 1271MW; 22h00 : 709MW; 23h55 : 709MW";;
05470_EDF_T_00086488;Active;Chronique;Nucléaire;BUGEY 4;1;2022-11-20T11:16:31+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 853MW; 23h55 : 853MW 22/11/2022 00h00 : 853MW; 23h55 : 853MW";;
05470_EDF_T_00086487;Active;Chronique;Nucléaire;BUGEY 3;1;2022-11-20T11:16:28+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 180MW; 23h55 : 180MW 22/11/2022 00h00 : 180MW; 07h25 : 180MW; 07h30 : 900MW; 16h55 : 900MW; 17h00 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086486;Active;Chronique;Nucléaire;BLAYAIS 4;1;2022-11-20T11:16:24+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 920MW; 23h55 : 920MW 22/11/2022 00h00 : 920MW; 23h55 : 920MW";;
05470_EDF_T_00086485;Active;Chronique;Nucléaire;BLAYAIS 3;1;2022-11-20T11:16:21+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 950MW; 23h55 : 950MW 22/11/2022 00h00 : 950MW; 23h55 : 950MW";;
05470_EDF_T_00086484;Active;Chronique;Nucléaire;BLAYAIS 2;1;2022-11-20T11:16:17+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 180MW; 06h25 : 180MW; 06h30 : 948MW; 13h55 : 948MW; 14h00 : 852MW; 23h55 : 852MW 22/11/2022 00h00 : 180MW; 07h25 : 180MW; 07h30 : 852MW; 08h25 : 852MW; 08h30 : 948MW; 10h55 : 948MW; 11h00 : 852MW; 23h55 : 852MW";;
05470_EDF_T_00086489;Active;Chronique;Nucléaire;BELLEVILLE 1;1;2022-11-20T11:16:14+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 1293MW; 12h55 : 1293MW; 13h00 : 260MW; 23h55 : 260MW 22/11/2022 00h00 : 260MW; 23h55 : 260MW";;
05470_EDF_T_00086154;Inactive;Planifiée;Nucléaire;BUGEY 4;22;2022-11-20T00:21:13+01:00;2022-11-13T05:14:00+01:00;2022-11-20T17:00:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086471;Active;Fortuite;Houille fossile;CORDEMAIS 5;3;2022-11-19T19:27:23+01:00;2022-11-19T11:40:00+01:00;2022-11-21T18:00:00+01:00;Défaillance;;580.0;450.0
05470_EDF_T_00086471;Inactive;Fortuite;Houille fossile;CORDEMAIS 5;2;2022-11-19T18:15:20+01:00;2022-11-19T11:40:00+01:00;2022-11-19T19:30:00+01:00;Défaillance;;580.0;330.0
05470_EDF_T_00086154;Inactive;Planifiée;Nucléaire;BUGEY 4;21;2022-11-19T17:33:17+01:00;2022-11-13T05:14:00+01:00;2022-11-20T07:00:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086238;Active;Fortuite;Nucléaire;CHINON 3;12;2022-11-19T17:03:15+01:00;2022-11-14T10:30:00+01:00;2022-11-19T22:30:00+01:00;Informations complémentaires;Remontée par paliers en cours ? prochain palier : PMD  - Palier à 362 MW : 57h ? Palier à 781 MW : 39h - montée à PMD : 5h Les durées indiquées peuvent varier en fonction de l?évolution de paramètres techniques;905.0;780.0
05470_EDF_T_00086449;Active;Chronique;Nucléaire;CHINON 2;2;2022-11-19T14:45:33+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 754MW; 00h55 : 754MW; 01h00 : 276MW; 08h25 : 276MW; 08h30 : 754MW; 23h55 : 754MW 21/11/2022 00h00 : 754MW; 00h55 : 754MW; 01h00 : 276MW; 05h25 : 276MW; 05h30 : 854MW; 23h55 : 854MW";;
05470_EDF_T_00086441;Active;Chronique;Nucléaire;BLAYAIS 2;2;2022-11-19T14:45:30+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 948MW; 01h55 : 948MW; 02h00 : 180MW; 08h25 : 180MW; 08h30 : 852MW; 23h55 : 852MW 21/11/2022 00h00 : 852MW; 00h55 : 852MW; 01h00 : 180MW; 06h25 : 180MW; 06h30 : 948MW; 13h55 : 948MW; 14h00 : 852MW; 23h55 : 852MW";;
05470_EDF_T_00086238;Inactive;Fortuite;Nucléaire;CHINON 3;11;2022-11-19T13:00:29+01:00;2022-11-14T10:30:00+01:00;2022-11-19T21:00:00+01:00;Informations complémentaires;Remontée par paliers en cours ? prochain palier : PMD  - Palier à 362 MW : 57h ? Palier à 781 MW : 39h - montée à PMD : 5h Les durées indiquées peuvent varier en fonction de l?évolution de paramètres techniques;905.0;780.0
05470_EDF_T_00086469;Active;Chronique;Nucléaire;TRICASTIN 3;2;2022-11-19T12:15:24+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : -25MW; 22h25 : -25MW; 22h30 : 0MW; 23h25 : 0MW; 23h30 : 5MW; 23h55 : 5MW 21/11/2022 00h00 : 194MW; 00h25 : 194MW; 00h30 : 383MW; 23h55 : 383MW";;
05470_EDF_T_00086461;Active;Chronique;Nucléaire;NOGENT 2;2;2022-11-19T12:15:20+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 1290MW; 02h25 : 1290MW; 02h30 : 1273MW; 03h55 : 1273MW; 04h00 : 1096MW; 13h25 : 1096MW; 13h30 : 1290MW; 23h55 : 1290MW 21/11/2022 00h00 : 1290MW; 23h55 : 1290MW";;
05470_EDF_T_00086238;Inactive;Fortuite;Nucléaire;CHINON 3;10;2022-11-19T12:00:51+01:00;2022-11-14T10:30:00+01:00;2022-11-19T18:00:00+01:00;Informations complémentaires;Remontée par paliers en cours ? prochain palier : PMD  - Palier à 362 MW : 57h ? Palier à 781 MW : 39h - montée à PMD : 5h Les durées indiquées peuvent varier en fonction de l?évolution de paramètres techniques;905.0;780.0
05470_EDF_T_00086154;Inactive;Planifiée;Nucléaire;BUGEY 4;20;2022-11-19T12:00:45+01:00;2022-11-13T05:14:00+01:00;2022-11-20T00:00:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086471;Inactive;Fortuite;Houille fossile;CORDEMAIS 5;1;2022-11-19T11:51:18+01:00;2022-11-19T11:40:00+01:00;2022-11-19T18:00:00+01:00;Défaillance;;580.0;390.0
05470_EDF_T_00086470;Active;Chronique;Nucléaire;TRICASTIN 4;1;2022-11-19T11:08:34+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 180MW; 23h55 : 180MW 21/11/2022 00h00 : 180MW; 07h25 : 180MW; 07h30 : 923MW; 16h55 : 923MW; 17h00 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086469;Inactive;Chronique;Nucléaire;TRICASTIN 3;1;2022-11-19T11:08:30+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : -25MW; 22h25 : -25MW; 22h30 : 0MW; 22h55 : 0MW; 23h00 : 5MW; 23h55 : 5MW 21/11/2022 00h00 : 194MW; 00h25 : 194MW; 00h30 : 383MW; 23h55 : 383MW";;
05470_EDF_T_00086468;Active;Chronique;Nucléaire;TRICASTIN 2;1;2022-11-19T11:08:27+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 931MW; 23h55 : 931MW 21/11/2022 00h00 : 931MW; 23h55 : 931MW";;
05470_EDF_T_00086467;Active;Chronique;Nucléaire;ST LAURENT 1;1;2022-11-19T11:08:24+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 890MW; 00h55 : 890MW; 01h00 : 180MW; 23h55 : 180MW 21/11/2022 00h00 : 180MW; 16h25 : 180MW; 16h30 : 820MW; 18h25 : 820MW; 18h30 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086466;Active;Chronique;Nucléaire;ST ALBAN 1;1;2022-11-19T11:08:20+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 1127MW; 08h25 : 1127MW; 08h30 : 1321MW; 12h55 : 1321MW; 13h00 : 1127MW; 14h25 : 1127MW; 14h30 : 1321MW; 15h55 : 1321MW; 16h00 : 1127MW; 23h55 : 1127MW 21/11/2022 00h00 : 1127MW; 08h25 : 1127MW; 08h30 : 1321MW; 14h55 : 1321MW; 15h00 : 1127MW; 23h55 : 1127MW";;
05470_EDF_T_00086465;Active;Chronique;Nucléaire;PALUEL 4;1;2022-11-19T11:08:17+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 270MW; 07h25 : 270MW; 07h30 : 1251MW; 09h25 : 1251MW; 09h30 : 270MW; 23h55 : 270MW 21/11/2022 00h00 : 270MW; 08h25 : 270MW; 08h30 : 1290MW; 10h55 : 1290MW; 11h00 : 270MW; 23h55 : 270MW";;
05470_EDF_T_00086464;Active;Chronique;Nucléaire;PALUEL 3;1;2022-11-19T11:08:14+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 1240MW; 01h55 : 1240MW; 02h00 : 498MW; 23h55 : 498MW 21/11/2022 00h00 : 498MW; 23h55 : 498MW";;
05470_EDF_T_00086463;Active;Chronique;Nucléaire;PALUEL 2;1;2022-11-19T11:08:10+01:00;2022-11-20T00:00:00+01:00;2022-11-21T00:00:00+01:00;Informations complémentaires;"PMIN 20/11/2022 00h00 : 270MW; 23h55 : 270MW 21/11/2022 00h00 : 270MW; 09h25 : 270MW; 09h30 : 1290MW; 11h25 : 1290MW; 11h30 : 270MW; 23h55 : 270MW";;
